,위도,경도,고도,지형유형,도로거리,토양 pH,전기전도도,y
0,36.818286,127.76592,142.3634949,산림,413.0,5.7,0.3,1
1,35.366927,129.3005,31.58818436,평지,357.0,5.4,0.7,1
2,35.297099,129.2526,11.79076195,평지,111.0,5.6,0.8,1
3,35.297099,129.2526,11.79076195,평지,111.0,5.6,0.8,1
4,35.602107,129.28892,91.71580505,산림,349.0,5.7,1.2,1
5,35.602107,129.28892,91.71580505,산림,349.0,5.7,1.2,1
6,35.515393,129.2764,21.63876152,평지,360.0,5.7,0.7,1
7,35.527339,129.18566,60.06561279,산림,590.0,5.7,0.5,1
8,35.610052,129.17509,62.63775635,산림,286.0,5.6,0.6,1
9,35.527339,129.18566,60.06561279,산림,590.0,5.7,0.5,1
10,35.58168,129.02582,709.1270752,산림,253.0,5.5,0.6,1
11,35.56857,129.08754,133.201416,산림,229.0,5.5,0.6,1
12,35.58168,129.02582,709.1270752,산림,253.0,5.5,0.6,1
13,35.399076,129.18343,151.4741821,산림,517.0,5.8,0.4,1
14,35.392961,129.24305,63.18647766,산림,342.0,5.3,0.6,1
15,35.372237,129.33559,55.95412445,산림,61.0,5.4,0.7,1
16,35.399076,129.18343,151.4741821,산림,517.0,5.8,0.4,1
17,35.297099,129.2526,11.79076195,평지,111.0,5.6,0.8,1
18,35.350515,129.14636,148.8852234,산림,144.0,5.7,1.2,1
19,35.324832,129.13932,207.5783386,산림,1353.0,5.9,0.5,1
20,35.292801,129.17343,121.9548035,산림,259.0,5.9,0.5,1
21,35.269324,129.17972,131.4147034,산림,159.0,5.9,0.5,1
22,35.298856,129.19237,93.75008392,산림,300.0,5.6,0.8,1
23,35.341776,129.22394,234.4013672,산림,1000.0,5.9,0.5,1
24,35.371412,129.22846,107.942749,산림,409.0,5.9,0.5,1
25,35.371412,129.22846,107.942749,산림,409.0,5.9,0.5,1
26,35.298856,129.19237,93.75008392,산림,300.0,5.6,0.8,1
27,35.269324,129.17972,131.4147034,산림,159.0,5.9,0.5,1
28,35.350515,129.14636,148.8852234,산림,144.0,5.7,1.2,1
29,35.571562,129.4002,178.2171631,산림,259.0,5.8,0.9,1
30,35.551773,129.44976,16.87589264,평지,1458.0,5.6,0.8,1
31,35.558035,129.42722,140.1933441,산림,88.0,5.6,0.8,1
32,35.571562,129.4002,178.2171631,산림,259.0,5.8,0.9,1
33,35.551773,129.44976,16.87589264,평지,1458.0,5.6,0.8,1
34,35.558035,129.42722,140.1933441,산림,88.0,5.6,0.8,1
35,35.558035,129.42722,140.1933441,산림,88.0,5.6,0.8,1
36,35.461697,129.24719,41.25606155,평지,752.0,5.7,0.7,1
37,35.399076,129.18343,151.4741821,산림,517.0,5.8,0.4,1
38,35.499306,129.40924,95.85633087,산림,330.0,5.6,0.8,1
39,36.880001,128.93769,416.3559875,산림,473.0,6.1,0.5,1
40,36.982039,128.90051,490.0707703,산림,110.0,5.8,0.4,1
41,36.910741,128.91376,406.3960571,산림,591.0,6.0,0.7,1
42,36.865147,128.92011,386.232605,산림,87.0,6.1,0.5,1
43,36.865147,128.92011,386.232605,산림,87.0,6.1,0.5,1
44,36.764229,128.81893,235.2412567,산림,72.0,6.1,27.0,1
45,36.835243,128.78358,321.0635681,산림,992.0,5.9,0.2,1
46,36.835243,128.78358,321.0635681,산림,992.0,5.9,0.2,1
47,36.752576,128.71768,315.0921936,산림,655.0,6.0,0.3,1
48,36.751514,128.71287,275.5778809,산림,403.0,6.0,0.3,1
49,36.912806,128.76893,240.6313629,산림,8.0,5.7,0.2,1
50,36.932969,128.82623,341.3095703,산림,354.0,6.0,0.2,1
51,36.94739,128.82922,432.0674133,산림,884.0,6.0,0.2,1
52,36.775432,126.29949,53.21852875,산림,373.0,6.2,0.7,1
53,36.775432,126.29949,53.21852875,산림,373.0,6.2,0.7,1
54,36.822061,128.55595,188.6759644,산림,138.0,6.2,0.2,1
55,36.765156,128.50881,275.3010559,산림,298.0,6.3,0.2,1
56,37.736722,126.97573,146.1619415,산림,37.0,6.3,0.9,1
57,37.862217,126.88763,78.04705811,산림,1148.0,6.0,0.8,1
58,35.499306,129.40924,95.85633087,산림,330.0,5.6,0.8,1
59,35.460089,129.26369,45.54231262,평지,240.0,5.7,0.7,1
60,35.460089,129.26369,45.54231262,평지,240.0,5.7,0.7,1
61,35.390499,129.31502,33.28043747,평지,1493.0,5.4,0.7,1
62,35.402245,129.32941,5.479960918,평지,165.0,5.6,1.0,1
63,35.390499,129.31502,33.28043747,평지,1493.0,5.4,0.7,1
64,37.655904,127.10289,65.91416931,산림,228.0,6.1,1.9,1
65,37.700571,127.09977,135.4172211,산림,722.0,6.3,1.7,1
66,37.683065,127.06277,63.7254715,산림,710.0,6.5,1.1,1
67,35.488981,128.40051,24.43158722,평지,533.0,5.4,1.1,1
68,37.72546,127.06999,79.32440186,산림,52.0,6.6,0.6,1
69,38.066841,127.24258,205.0490723,산림,276.0,5.8,0.7,1
70,38.10223,127.19252,153.5167236,산림,112.0,5.9,0.6,1
71,38.119607,127.1259,133.0909271,산림,308.0,6.0,0.8,1
72,37.755745,127.16763,97.16827393,산림,451.0,5.9,0.8,1
73,37.765678,127.14835,164.7457275,산림,195.0,5.9,0.8,1
74,37.767191,127.0878,62.10965347,산림,105.0,6.6,0.6,1
